Time,cPLS,cLO_measured
0,7.01370761395101,14.9092965063729
0.5,6.98297022114401,14.8719447019563
1,7.040302748719,14.8634618583983
1.5,7.01403144771988,14.8770250013484
2,6.96974982677688,14.8384929140261
2.5,7.00163051033996,14.8580619088519
3,6.96926913366971,14.936493100178
3.5,7.01163813420461,14.7916714632153
4,6.96028527771881,14.90931367277
4.5,7.03998355566968,14.8441605391609
5,6.97998322069965,14.8667735842228
5.5,7.03005284556097,14.920906817869
6,7.00013967152942,14.8537334724206
6.5,7.03655607490061,14.8825928510217
7,6.98505026981871,14.8873427009779
7.5,6.98919912810565,14.8921228221816
8,7.00506915841302,14.8993550308364
8.5,7.02767078548885,14.8749786443442
9,6.992668333637,14.9042584782614
9.5,7.01509264163849,14.8921635216972
10,6.95744575224837,14.8412103826963
10.5,6.99565416155474,14.9088243495835
11,6.99984913056267,14.8994896388047
11.5,7.09335795932516,14.8675878427757
12,7.03463636723564,14.8268245665015
12.5,6.99381834120591,14.8930973505449
13,6.99088282932965,14.8947684843722
13.5,7.04974614293343,14.9004515376912
14,6.99831101523331,14.8680375585949
14.5,7.0363163654697,14.8813835592327
15,7.05796376894655,14.8687480077234
15.5,6.99460078227408,14.8876219230008
16,6.99381263341314,14.9042348221413
16.5,7.03233721424091,14.8697088910863
17,6.97709663414975,14.8403538783816
17.5,6.98067969630284,14.8166378662681
18,6.99537815394728,14.8891097415611
18.5,6.97089415773964,14.8562485825858
19,7.01927647221973,14.8648018494059
19.5,7.01258630094003,14.9265096163007
20,7.00843080772019,14.8895370327643
20.5,7.02206185235847,14.8741327616202
21,6.98194253726461,14.9266485614286
21.5,6.98156990288714,14.8816120038179
22,6.95295005573143,14.8431821064377
22.5,7.02329091767336,14.8818676943302
23,6.96731105841343,14.8470698524741
23.5,7.02786121376336,14.8478306851887
24,7.01628746820155,14.8864102310625
24.5,7.01866387849735,14.8567340120911
25,7.00548506889823,14.8549873315233
25.5,6.95106512484768,14.9087723068497
26,6.99175543476564,14.8515339877574
26.5,7.02228407786708,14.9075028698463
27,7.00045919120659,14.8457444275133
27.5,6.97767470675281,14.8977162362765
28,6.98336860336088,14.8609005917892
28.5,7.00134904310308,14.8521325112854
29,6.99018642036147,14.9167531266818
29.5,6.96053155577249,14.8935633284715
30,6.97389081848548,14.860989043452
30.5,6.99980042152349,14.8379449090876
31,7.01381499779065,14.8684604923285
31.5,6.9193204378693,14.9323038440023
32,6.99831711654123,14.8761883419125
32.5,7.02788205211231,14.8847840754841
33,7.06510307231136,14.9023779129283
33.5,6.96132649864309,14.8783927120112
34,7.04248427085203,14.8868070009121
34.5,6.99753190843406,14.8941404922654
35,7.00077888590025,14.8684682547936
35.5,7.01968020351254,14.8127801016363
36,7.02509106441373,14.8763048097104
36.5,7.02003696211901,14.826450952721
37,7.01881880878737,14.8873060751941
37.5,6.97564295176057,14.8482239739942
38,7.01204577848284,14.913986893287
38.5,7.00803665153295,14.8578995134421
39,7.0183160722028,14.8833072847548
39.5,7.01331246762376,14.8914039274587
40,7.05504575672155,14.894043695459
40.5,6.97281240412243,14.9529775475027
41,7.04737671335936,14.9151822597596
41.5,7.01478888566876,14.8997638060864
42,7.01343788417959,14.9262113867681
42.5,7.01499698699997,14.8585558541755
43,6.99039510041792,14.8640916783659
43.5,6.98128552643348,14.8726531228998
44,7.03383000382268,14.8705170301235
44.5,7.00118583987371,14.9007460610916
45,6.98361964718635,14.82220417671
45.5,7.01953295818488,14.9115591279572
46,6.97358366013602,14.8679463689148
46.5,6.97112572535764,14.8769648895314
47,6.99114441615812,14.8534713732794
47.5,7.01273689956628,14.8532959633867
48,6.98073438799504,14.9028653672195
48.5,7.03834783175921,14.8667808412757
49,7.03855345913664,14.8464113767349
49.5,6.94714516043085,14.8544047396017
50,7.01016911105339,14.892170061119
50.5,6.9690380371208,14.8397762714362
51,7.04703315688973,14.8846557878097
51.5,6.98771279607393,14.890750868992
52,7.03610689816216,14.8657352484424
52.5,7.0407476199654,14.8961773182296
53,6.98780350300083,14.8580261749629
53.5,6.99366894050478,14.9143465803399
54,7.02239772338585,14.8745912141287
54.5,7.02754071927625,14.9134252153314
55,6.94983503648357,14.8687585323382
55.5,7.00709564614035,14.8897766091948
56,7.03662625386552,14.9275162116716
56.5,7.01348443624584,14.8363852786117
57,6.92776856058501,14.9107561510113
57.5,6.98068902102008,14.8437395518199
58,6.97813312995711,14.8234725850562
58.5,7.02402689572155,14.9057733643615
59,6.99440783099364,14.8718405461805
59.5,6.95388281117107,14.8652622619556
60,6.99238645308776,14.8810818738803
60.5,6.94637935379899,14.9351447274535
61,7.01418426293892,14.8959073591696
61.5,6.94747874119448,14.8422023579684
62,7.02273986705796,14.8412415412854
62.5,7.01913956048887,14.8475048389113
63,7.00384317874925,14.9195931555301
63.5,7.03674372082331,14.854801907209
