Time,cLE,cRE_measured
35,35.0097863514297,54.9192227283644
35.5,34.943440146821,54.9477929740957
36,35.0090177460487,54.9666587809015
36.5,34.9890404693159,54.9349689884028
37,35.0360759861154,54.9294648471147
37.5,34.9629125202548,54.9446009284623
38,34.9663987230142,54.9564663635672
38.5,35.0583925684297,54.9663694536119
39,35.0111932592303,54.9598455013531
39.5,35.0044499244113,54.9627316360224
40,34.9207019319594,54.9368512215125
40.5,35.0096154388349,54.9179796495593
41,34.9994450959325,54.9970399686106
41.5,34.9898237289685,54.9783248919035
42,35.0077954284666,54.9915196731664
42.5,35.0140137674736,54.9715013119284
43,35.0053788015267,54.9334415541717
43.5,34.9863119244551,54.9782154372796
44,35.0231791565222,54.9572993204862
44.5,34.993236000808,54.9036229387231
45,35.0147044468539,54.943770607964
45.5,35.0091108087044,55.0083599473079
46,35.0227658910538,54.932778359412
46.5,35.0218309896933,54.9173341569548
47,34.9883262750561,54.965457494338
47.5,34.9955081784755,54.9818733137463
48,35.0119828914035,54.9436102377513
48.5,35.0844682082828,54.9719257468249
49,34.991894297708,54.8983995242965
49.5,35.0299787323173,54.9649458191738
50,35.0026516850065,54.9424831006818
50.5,34.9649931754949,55.0148845883212
51,35.0301804355744,54.9602059554836
51.5,35.0026122640789,54.9378806479923
52,34.994362636441,54.9346463896176
52.5,35.0043170494726,54.9326895017199
53,35.0062982028314,54.9814848460249
53.5,35.0527273559905,54.9485071655135
54,35.0020821841453,54.9847749367576
54.5,34.9803428236838,54.9541430602441
55,34.9455723857055,55.0106782639353
55.5,35.0200321875976,55.0152575290163
56,34.9740094192468,54.9790425839767
56.5,34.9772126757585,54.9705218754574
57,34.9713847256534,54.9430265203534
57.5,35.0410275617305,54.9880679132194
58,35.0291644987644,54.9394908564089
58.5,34.9862056777501,54.9828410853776
59,34.9504768443892,54.9820021435488
59.5,35.0200216322716,54.9922717981546
60,35.0107100402022,54.9704203699851
60.5,34.976667830678,54.8772789943775
61,34.9853798557777,54.9624523101433
61.5,34.9792449890895,54.9861885008426
62,35.0176381769916,54.9409650001186
62.5,34.9876562655531,54.9833654799038
63,34.9335280341735,54.9775633969685
63.5,35.0248962120485,54.9534071440846
64,35.0058364345031,55.001123297794
64.5,34.9512522067348,54.9464093986418
65,34.9924660267451,54.9910323384176
65.5,35.045509325823,54.958695849709
66,35.023982197449,54.9477598784045
66.5,34.9919997831598,54.9315710646912
67,34.9911464350924,55.0526107386453
67.5,34.9671795130009,54.9024906737617
68,35.003267501774,54.9871026768276
68.5,35.0412970328197,54.9473753473155
69,34.9896374851705,54.9529831914282
69.5,35.0252594216049,55.0022024581427
70,35.0328484033696,54.9747172788101
70.5,34.9857356629546,54.9579730897391
71,34.9862992472359,54.9441701665989
71.5,34.991988510886,54.9716592869993
72,34.98835388656,54.9486211700035
72.5,35.0428583262491,54.9591467205685
73,35.0255410042974,54.9588241703013
73.5,34.9460220824121,54.9401681431898
74,35.0144397454511,54.9426702199964
74.5,35.0162690163607,54.9882395879798
75,34.9936835127297,54.9425402694914
75.5,35.0305892133138,54.9678411091265
76,34.9982843142986,54.9131113330388
76.5,34.9926053831101,54.9476142659084
77,35.011211416487,54.9639025376809
77.5,35.0282432598241,54.9993288569213
78,35.0001161822373,54.949190171663
78.5,34.9905845788922,54.9297146609526
79,35.0096109494181,54.9971495165839
79.5,35.0098222194082,54.9328268507976
80,34.9914183389267,55.0031126981809
80.5,35.0016399269477,54.9476288288406
81,35.0322726600074,54.8905076745667
81.5,34.9851312564862,54.9312486041966
82,35.0003968058758,54.9397007808158
82.5,35.0100732874719,54.976191708745
83,34.9938393068314,54.9599507251097
83.5,34.9990862141281,54.956326516552
84,34.9678587962663,54.9557882167947
84.5,34.9630623303976,55.0121755364648
85,34.9952228833254,54.9403021347965
85.5,35.0057002176265,55.0250922961277
86,35.0037925378976,54.9114984209931
86.5,34.964709347111,54.9347884092951
87,35.0090265906314,54.971670225505
87.5,35.0230106063871,54.9161719707263
88,34.9954940815231,54.9445982934942
88.5,35.0257058779451,54.9741062807187
89,34.9649980742555,54.9727590605007
89.5,34.9955065701513,54.9376788044679
90,34.9910838065566,54.9679993699253
90.5,35.0039386495452,54.9806618421392
91,34.9615656537896,54.9151181545115
91.5,35.070273971737,54.9458198311573
92,35.0226978901416,54.8977447295854
92.5,35.034111378264,54.9663981375237
93,34.9833374499795,54.9917627303079
93.5,35.0215924773494,54.9459118240237
94,34.9874866038833,54.9787807526386
94.5,35.0030066317374,55.0046201684472
95,35.0181241866266,54.983731884564
95.5,34.9926752694286,54.9149383156011
96,35.0041953077821,54.9131383181641
96.5,35.0126081121861,54.9942159504553
97,34.9720355748498,54.9204282323696
97.5,35.0341495964706,54.9473354571348
98,35.0016774803778,54.9352426131405
98.5,34.9763407820556,54.9656642388655
99,35.0002802628415,54.9835319272368
99.5,34.9983400490804,54.9380935451251
100,35.0268081169947,54.9821347926831
100.5,34.9899819763833,54.8983482971922
101,34.9766289160304,54.9547468797644
101.5,34.9797116074888,54.9870546817723
102,34.9915473308206,54.9206030722491
102.5,35.0279738518024,54.9435108321138
103,35.0133898778116,54.9895225639308
103.5,34.9794587721571,54.9411744111434
104,35.0121947341691,54.9685748888078
104.5,34.9881270946218,54.89185951753
105,35.0467502400511,54.9374252711831
105.5,35.0219023741289,54.9258920255165
106,35.0258861996021,55.0124659501367
106.5,35.0294248389327,54.935046826538
107,35.0133075000833,54.9586041151389
107.5,34.9709853862635,54.9448072206529
108,35.0586193898295,54.9873126118928
108.5,35.0226384851341,54.9158950141553
109,34.9937027761653,54.9554942749912
109.5,35.0039687859993,54.9807319543088
110,34.9956383323811,54.9579668908744
110.5,35.0315005683575,54.9754508454699
111,34.9852576562464,54.923970293309
111.5,34.9566565190664,54.9250866652198
112,34.971568027275,54.972857345831
112.5,34.9711338741105,54.9592699539951
113,34.9939730933857,54.9591395793038
