Time,fPLSS,cLO_measured
0,277.354402466093,14.8828513866373
0.5,278.23842521979,14.8791162061956
1,277.825730912096,14.8782679218398
1.5,277.967071662865,14.8796242361348
2,278.134148701026,14.8757710274026
2.5,278.103426337194,14.8777279268852
3,278.39928252519,14.8855710460178
3.5,277.704422471472,14.8710888823215
4,277.657395200448,14.882853103277
4.5,278.613120200436,14.8763377899161
5,278.173283011355,14.8785990944223
5.5,278.116345117288,14.8840124177869
6,277.551364942745,14.8772950832421
6.5,277.246385174653,14.8801810211022
7,277.62614531767,14.8806560060978
7.5,276.860186724858,14.8811340182182
8,278.027661136525,14.8818572390836
8.5,278.556367239597,14.8794196004344
9,277.769096510096,14.8823475838261
9.5,278.239889740121,14.8811380881697
10,277.438203365743,14.8760427742696
10.5,277.339180983938,14.8828041709583
11,277.890073316989,14.8818706998805
11.5,277.864563435735,14.8786805202776
12,277.96624208475,14.8746041926501
12.5,278.234150814166,14.8812314710545
13,277.306843338045,14.8813985844372
13.5,277.425127863499,14.8819668897691
14,278.554063886161,14.8787254918595
14.5,278.174559796289,14.8800600919233
15,277.054539128787,14.8787965367723
15.5,277.645336569453,14.8806839283001
16,277.697004682707,14.8823452182141
16.5,277.672675080472,14.8788926251086
17,276.82663971587,14.8759571238382
17.5,277.691498172339,14.8735855226268
18,278.902026432185,14.8808327101561
18.5,278.533854062769,14.8775465942586
19,278.908047120732,14.8784019209406
19.5,278.352279427077,14.8845726976301
20,278.000824112437,14.8808754392764
20.5,278.147027716613,14.879335012162
21,278.103624792797,14.8845865921429
21.5,278.596866206748,14.8800829363818
22,277.600567427666,14.8762399466438
22.5,278.608492446211,14.880108505433
23,277.939676270727,14.8766287212474
23.5,277.567253353288,14.8767048045189
24,278.146882344095,14.8805627591062
24.5,278.474272755158,14.8775951372091
25,277.031672945247,14.8774204691523
25.5,277.971520590438,14.882798966685
26,277.845976406259,14.8770751347757
26.5,278.014185715089,14.8826720229846
27,277.558762006103,14.8764961787513
27.5,277.877399595386,14.8816933596276
28,277.398581137861,14.8780117951789
28.5,277.699403230215,14.8771349871285
29,277.942113176395,14.8835970486682
29.5,278.106593308971,14.8812780688471
30,277.728212518424,14.8780206403452
30.5,277.879383762155,14.8757162269088
31,278.464118049829,14.8787677852328
31.5,277.803758722007,14.8851521204002
32,277.856662453078,14.8795405701912
32.5,278.34124104688,14.8804001435484
33,278.296369566592,14.8821595272928
33.5,277.596869231908,14.8797610072011
34,277.833272446512,14.8806024360912
34.5,277.590659687349,14.8813357852265
35,277.247682930113,14.8787685614794
35.5,278.626696695703,14.8731997461636
36,278.455412615602,14.879552216971
36.5,277.963639661313,14.8745668312721
37,278.314334579957,14.8806523435194
37.5,277.687148458633,14.8767441333994
38,278.065133777618,14.8833204253287
38.5,278.348241838979,14.8777116873442
39,278.177749099944,14.8802524644755
39.5,278.305319280223,14.8810621287459
40,277.399626957939,14.8813261055459
40.5,278.649729797332,14.8872194907503
41,277.612575031337,14.883439961976
41.5,277.798845817133,14.8818981166086
42,277.249350799114,14.8845428746768
42.5,278.074135904114,14.8777773214175
43,278.635127264725,14.8783309038366
43.5,277.997507928846,14.87918704829
44,277.401140775611,14.8789734390124
44.5,277.94477575305,14.8819963421092
45,278.49134642028,14.874142153671
45.5,277.727673619801,14.8830776487957
46,276.887120286138,14.8787163728915
46.5,278.157774287016,14.8796182249531
47,278.480865986441,14.8772688733279
47.5,277.467463356218,14.8772513323387
48,277.859660528396,14.882208272722
48.5,277.876343357478,14.8785998201276
49,278.913004302739,14.8765628736735
49.5,276.662303330315,14.8773622099602
50,278.82348823945,14.8811387421119
50.5,278.113219810856,14.8758993631436
51,279.226035332612,14.880387314781
51.5,277.970979998041,14.8809968228992
52,278.365801440492,14.8784952608442
52.5,277.406758479858,14.881539467823
53,277.728193471706,14.8777243534963
53.5,277.968076000002,14.883356394034
54,277.135010141311,14.8793808574129
54.5,278.437746970034,14.8832642575331
55,278.815594197346,14.8787975892338
55.5,277.09819806721,14.8808993969195
56,276.805977432126,14.8846733571672
56.5,277.754838484846,14.8755602638612
57,277.594702113059,14.8829973511011
57.5,277.887003137597,14.876295691182
58,277.565852493745,14.8742689945056
58.5,278.333078797996,14.8824990724362
59,278.665313089935,14.879105790618
59.5,277.465354263752,14.8784479621956
60,278.112244430791,14.880029923388
60.5,278.148601822378,14.8854362087454
61,278.082776315534,14.881512471917
61.5,278.482792271984,14.8761419717968
62,277.312288283411,14.8760458901285
62.5,277.917290358365,14.8766722198911
63,278.099186504118,14.883881051553
63.5,277.655223395443,14.8774019267209
64,276.949714317796,14.8781962797779
64.5,278.233159668661,14.8801100589118
65,278.450134378575,14.8801054211018
65.5,278.083579879411,14.8815478827271
66,277.861016339344,14.87909895537
66.5,278.006768177419,14.8795716788171
67,277.658235219224,14.8792291185764
67.5,277.678660167547,14.8765619898302
68,277.303355484796,14.8748298968105
68.5,278.268565567537,14.8851095212606
69,277.37728215263,14.8802230804705
69.5,277.488059090216,14.8789975904387
70,278.348011026421,14.8851543922961
70.5,278.19920312139,14.8803270514845
71,277.521557240181,14.8819517539353
71.5,277.955350837275,14.8804098648998
72,277.770878546626,14.8840839633405
72.5,277.642355776638,14.8807743977445
73,278.090705229487,14.8802355219788
73.5,277.472916454817,14.8811389936657
74,277.904176861047,14.8826973585963
74.5,277.514954823249,14.8770490781316
75,277.876827599393,14.8801848609566
75.5,277.567831890936,14.8783216372867
76,277.922103775161,14.8858794821553
76.5,277.208536347981,14.8824009059285
77,278.043306597292,14.8767512741194
77.5,277.802344716391,14.8842687889419
78,278.963490291823,14.8771302002228
78.5,277.059045854644,14.8822162660845
79,277.991049684189,14.8779220869989
79.5,277.523812764383,14.8867859809721
80,278.765655069154,14.8806675177466
80.5,278.148208834577,14.8820465659561
81,277.939397451001,14.8778693445227
81.5,277.835356867809,14.8830516718541
82,278.430939996787,14.8754064018199
82.5,278.012454902911,14.8801116960216
83,277.132224578643,14.8789759785643
83.5,277.409083063672,14.8801865849466
84,277.809351487762,14.878746184727
84.5,278.21040393543,14.8806105808158
85,277.954183405233,14.8841359231191
85.5,277.3936797539,14.8755583363127
86,277.38193022696,14.87927681007
86.5,278.661868540815,14.8788974384111
87,277.533761575423,14.877834297834
87.5,278.6084364177,14.8820809869632
88,278.222097738873,14.8754502009822
88.5,277.256891519352,14.8807731636687
89,277.562247894626,14.8792678813853
89.5,277.312007157543,14.8782743913376
90,277.687695443313,14.8791818210831
90.5,278.88066092107,14.881636137055
91,277.989245241122,14.8781834890765
91.5,278.528481740946,14.8813913104651
92,277.978306186232,14.8783530198817
92.5,277.944930167358,14.8769315924862
93,278.226887960281,14.8859184822334
93.5,278.365966775645,14.8806897968519
94,277.942856908742,14.883451098195
94.5,277.88675846459,14.8768991917926
95,276.806985299,14.8866563630834
95.5,277.825061563341,14.8767066912487
96,278.793531991981,14.8755872882685
96.5,277.908140160093,14.8820046002582
97,278.825281926362,14.8809157258282
97.5,277.160934101918,14.8811871802116
98,278.143119787975,14.8812962807627
98.5,278.100352831746,14.8826122082338
99,277.308118181095,14.8845923955845
99.5,277.931395095569,14.8816818113851
100,277.546115004231,14.8821323652022
100.5,277.725936797852,14.8764432403728
101,277.575531189252,14.8809136592929
101.5,278.73035500747,14.8820878793878
102,278.068663164092,14.8807425733435
102.5,278.838387181625,14.8783521970249
103,277.73955399889,14.8796033149444
103.5,276.724896821649,14.8785234173726
104,277.47695198696,14.8799863769405
104.5,278.091137741015,14.8854567164
105,277.683529610619,14.8830183465117
105.5,277.136996766963,14.8790434687641
106,278.083772901133,14.8855074762163
106.5,278.08011813219,14.8793411280338
107,278.207283226304,14.8749639685019
107.5,278.534669508226,14.8794471953475
108,278.223884736084,14.8798496611109
108.5,277.770523592359,14.8779832860031
109,278.551768133417,14.8773514450485
109.5,277.623172662508,14.8800890068075
110,277.61973541435,14.8805977436485
110.5,278.193520840012,14.8836668089881
111,277.334325189374,14.8745502140955
111.5,278.409600308964,14.8798602540514
112,277.651312924489,14.884630393041
112.5,279.10098516604,14.8805370568886
113,277.952472070261,14.8741970557786
113.5,277.641461329336,14.8771711235904
114,278.630019704918,14.8793445981509
114.5,278.651940437706,14.8788188947765
115,278.118390284397,14.882780462736
115.5,278.811636976764,14.8794398989336
116,278.083043017159,14.8750190166292
116.5,277.076037377856,14.8780699932316
117,278.02746976293,14.884905352562
117.5,277.239736042755,14.8795279908688
118,278.206126011235,14.8774435562809
118.5,278.222958433276,14.8751279251831
119,278.339143163907,14.8789317432155
119.5,278.057173654718,14.8784277259037
120,278.109017396969,14.8782910527288
120.5,279.068686813087,14.8723504500888
121,278.02816777413,14.884356387157
121.5,278.63219521472,14.8803761930896
122,278.151533589048,14.8829232688752
122.5,277.488879632534,14.8777715766128
123,278.50526641251,14.8812861515459
123.5,277.791525760606,14.8821841382536
124,278.095001279596,14.8792232307549
124.5,278.372036750039,14.8827905680242
125,277.862352563171,14.8826595223718
125.5,277.246511403979,14.8797301923651
126,277.925859317237,14.875164395089
126.5,277.600600634913,14.8745578520365
127,277.96769826268,14.8792004363481
127.5,278.23282615866,14.8814067028409
128,278.270868789713,14.869613053744
128.5,278.007683773064,14.8789890135746
129,277.382860847004,14.8793432667628
129.5,278.065973407805,14.8772514117337
130,277.253623716165,14.8761501337193
130.5,278.647563633042,14.8782981131255
131,277.696460450189,14.8778664056082
131.5,278.794362394096,14.8797434038097
132,277.927032796283,14.8788376189855
132.5,278.753826710728,14.8752177050329
133,278.162466792265,14.8733318059871
133.5,278.234759719154,14.8791785509486
134,278.160646951714,14.8800765348703
134.5,277.514865986619,14.8850463918783
135,277.981404518399,14.8822077120728
135.5,278.185460243834,14.8829013788821
136,277.465554537347,14.8781689093884
136.5,277.900445302955,14.8776727112209
137,277.84625933901,14.8781035690702
137.5,277.676067209471,14.8827703700138
138,278.394548764469,14.8837553127455
138.5,278.892501591123,14.8825292962783
139,277.673657690883,14.8778250198225
139.5,278.292021454262,14.880533340588
140,278.144153746652,14.8791498616782
140.5,278.079995482313,14.8840126564242
141,278.66213979119,14.8832730952083
141.5,277.840001953426,14.8814239618513
142,278.350224846379,14.8768220504662
142.5,277.695408444572,14.8817979645236
143,278.08202376303,14.8811571335723
143.5,277.330748391605,14.8831042892021
144,277.702543941414,14.8788003152564
144.5,278.818687918744,14.8763650175317
145,277.350052344337,14.8803213756462
145.5,278.421294916596,14.8768203858632
146,277.866684634681,14.8818316812593
146.5,278.568099080698,14.8828125420263
147,277.568060001924,14.8767989481872
147.5,277.964734410856,14.8800574214162
148,278.639673286705,14.8798787324115
148.5,278.210182803043,14.8765920383114
149,278.047693341623,14.8876246186169
149.5,277.958885442168,14.8801421881396
150,277.92104666481,14.8833076655619
150.5,278.148399741105,14.8812900922433
151,277.468991415389,14.8795681817093
151.5,278.601201967687,14.8810740787413
152,278.592447662593,14.8814113577058
152.5,278.598604801218,14.8730602291353
153,277.929420842208,14.8846939597948
153.5,278.139418555894,14.8792418296734
154,278.631561496871,14.8812170421828
154.5,277.374071779641,14.8789094914176
155,277.825579637758,14.8816305766904
155.5,277.515670103199,14.8780073785512
156,278.563860762887,14.8815575163911
156.5,278.60248385188,14.8788670031421
157,277.621088601051,14.8798469492181
157.5,277.425949991206,14.8792267028174
158,276.744492309845,14.8889748479246
158.5,278.266487326977,14.8808737136772
159,277.817053242954,14.8816895196331
159.5,277.43496576907,14.8830108490585
160,278.473390116006,14.8802180978812
160.5,277.565274004227,14.8751033355737
161,277.404476282549,14.8764056636532
161.5,278.192824574954,14.8838546786596
162,277.319173008844,14.8746197713727
162.5,278.700696818348,14.8808176330272
163,278.48162118031,14.8825202533153
163.5,277.234004430213,14.8799606536283
164,277.341982144389,14.8847708965378
164.5,278.539027025391,14.8753655178294
165,277.699365792001,14.8785566898098
165.5,278.220823913336,14.8813742723408
166,277.826184031042,14.878433746531
166.5,278.109682404864,14.8781595098416
167,279.050646203595,14.8835852039259
167.5,277.863226654586,14.8838007607178
168,277.84839375054,14.8785444925634
168.5,277.673196877933,14.879062746012
169,278.079780224266,14.8747817494468
169.5,278.38145608391,14.8779360857556
170,278.428634886349,14.8768873876984
170.5,277.299920186472,14.8784937016904
171,278.227712590079,14.8846106169842
171.5,278.102770519094,14.8792673891365
172,277.953425001377,14.8736152554477
172.5,278.436184896142,14.8786025419427
173,277.863961994733,14.8768446334944
173.5,277.712610433604,14.878542943807
174,278.110987003899,14.8824366647519
174.5,277.80333415143,14.8818691180653
175,278.843845502163,14.880255825668
175.5,277.307429687295,14.8784781325455
176,278.724960269708,14.8781075809308
176.5,278.822453394424,14.8804642816716
177,277.442773893093,14.8794353050289
177.5,277.44240836156,14.8798488205399
178,277.834755691896,14.8743016224992
178.5,278.326598743727,14.8820057315239
179,277.955196477865,14.8768546811951
