Time,fPLSP,cLO_measured
108,277.394468325706,14.8798496611109
108.5,277.796008432356,14.8779832860031
109,278.261016294759,14.8773514450485
109.5,277.232050449528,14.8800890068075
110,277.840728465421,14.8805977436485
110.5,278.607545522255,14.8836668089881
111,277.109825225929,14.8745502140955
111.5,278.452408875549,14.8798602540514
112,277.584378600887,14.884630393041
112.5,278.791444050765,14.8805370568886
113,278.376485484568,14.8741970557786
113.5,277.594266913519,14.8771711235904
114,277.942562533627,14.8793445981509
114.5,277.58017732136,14.8788188947765
115,277.649871071363,14.882780462736
115.5,277.956100056365,14.8794398989336
116,278.057183176177,14.8750190166292
116.5,277.949828986689,14.8780699932316
117,278.06759009862,14.884905352562
117.5,277.947640371738,14.8795279908688
118,277.351839406881,14.8774435562809
118.5,278.059018511422,14.8751279251831
119,277.702481703254,14.8789317432155
119.5,278.393675344817,14.8784277259037
120,277.575740731973,14.8782910527288
120.5,277.173896672055,14.8723504500888
121,277.833332664117,14.884356387157
121.5,278.575137118492,14.8803761930896
122,277.716824270899,14.8829232688752
122.5,278.182616253949,14.8777715766128
123,277.056946809589,14.8812861515459
123.5,277.829822006266,14.8821841382536
124,277.765533313827,14.8792232307549
124.5,278.813720696591,14.8827905680242
125,277.746570708789,14.8826595223718
125.5,277.790102916388,14.8797301923651
126,277.888250622697,14.875164395089
126.5,278.477704407815,14.8745578520365
127,277.871680519232,14.8792004363481
127.5,276.719486328366,14.8814067028409
128,277.829143251836,14.869613053744
128.5,277.712703358266,14.8789890135746
129,278.628168989564,14.8793432667628
129.5,278.161732065123,14.8772514117337
130,278.292899199271,14.8761501337193
130.5,277.56259987115,14.8782981131255
131,277.977976963159,14.8778664056082
131.5,279.084730835364,14.8797434038097
132,277.824377033369,14.8788376189855
132.5,277.744222462279,14.8752177050329
133,277.660917747549,14.8733318059871
133.5,278.596123553775,14.8791785509486
134,277.782936487121,14.8800765348703
134.5,277.352722430147,14.8850463918783
135,277.515146510641,14.8822077120728
135.5,278.849927594478,14.8829013788821
136,277.7068314724,14.8781689093884
136.5,278.314208256807,14.8776727112209
137,277.919342330192,14.8781035690702
137.5,277.820022545898,14.8827703700138
138,277.795529950258,14.8837553127455
138.5,278.320878564162,14.8825292962783
139,278.352672373518,14.8778250198225
139.5,277.732734065672,14.880533340588
140,277.868527777046,14.8791498616782
140.5,277.79125462954,14.8840126564242
141,278.315363482523,14.8832730952083
141.5,278.110762195439,14.8814239618513
142,277.84427544778,14.8768220504662
142.5,278.254174844498,14.8817979645236
143,277.59677834912,14.8811571335723
143.5,277.921381312397,14.8831042892021
144,277.371254333041,14.8788003152564
144.5,277.88341508654,14.8763650175317
145,278.668945635848,14.8803213756462
145.5,277.656650316452,14.8768203858632
146,277.293369856305,14.8818316812593
146.5,278.009800140315,14.8828125420263
147,278.042906008825,14.8767989481872
147.5,278.135698615908,14.8800574214162
148,277.97030150399,14.8798787324115
148.5,278.038916580061,14.8765920383114
149,278.699569960858,14.8876246186169
149.5,278.302500321369,14.8801421881396
150,279.082389114311,14.8833076655619
150.5,276.809670957852,14.8812900922433
151,278.514548252808,14.8795681817093
151.5,277.632264927322,14.8810740787413
152,277.165894475096,14.8814113577058
152.5,277.437591228714,14.8730602291353
153,278.415121791064,14.8846939597948
153.5,278.56588809495,14.8792418296734
154,277.539056458485,14.8812170421828
154.5,278.84564529679,14.8789094914176
155,277.86682279641,14.8816305766904
155.5,278.314682701533,14.8780073785512
156,278.363422346579,14.8815575163911
156.5,277.879561644341,14.8788670031421
157,277.947867985679,14.8798469492181
157.5,277.569347965573,14.8792267028174
158,279.024264596402,14.8889748479246
158.5,278.679505382439,14.8808737136772
159,277.834332707219,14.8816895196331
159.5,277.872404874831,14.8830108490585
160,278.335401192692,14.8802180978812
160.5,278.465918549999,14.8751033355737
161,278.66201415761,14.8764056636532
161.5,277.971822756928,14.8838546786596
162,277.819335336147,14.8746197713727
162.5,278.511044965714,14.8808176330272
163,277.726341364046,14.8825202533153
163.5,278.097275426357,14.8799606536283
164,277.385344386161,14.8847708965378
164.5,278.008920727382,14.8753655178294
165,279.130688166082,14.8785566898098
165.5,278.335069940375,14.8813742723408
166,278.206862458787,14.878433746531
166.5,277.893485317185,14.8781595098416
167,279.213142761991,14.8835852039259
167.5,277.765511880933,14.8838007607178
168,277.653135004247,14.8785444925634
168.5,278.0791674534,14.879062746012
169,278.287604845664,14.8747817494468
169.5,277.468782742889,14.8779360857556
170,278.427088074203,14.8768873876984
170.5,277.715375376109,14.8784937016904
171,277.550302855985,14.8846106169842
171.5,277.667428175415,14.8792673891365
172,278.006419553383,14.8736152554477
172.5,278.059137055315,14.8786025419427
173,278.135652935944,14.8768446334944
173.5,277.593923191728,14.878542943807
174,278.05618578312,14.8824366647519
174.5,277.506569130499,14.8818691180653
175,277.516833291584,14.880255825668
175.5,278.076039471928,14.8784781325455
176,278.288607105813,14.8781075809308
176.5,277.935699880726,14.8804642816716
177,278.404842493171,14.8794353050289
177.5,277.215458589781,14.8798488205399
178,277.65846373551,14.8743016224992
178.5,278.145934823818,14.8820057315239
179,278.366413594944,14.8768546811951
179.5,277.551973267282,14.8785060684295
180,278.038084363803,14.881828708488
180.5,278.895110980445,14.8787540608414
181,277.764031619483,14.8793251047124
181.5,278.394103676956,14.8808481241279
182,277.622614201323,14.8799576154784
182.5,277.08646996781,14.8752444929983
183,277.410313217198,14.8838362786352
183.5,277.655994672359,14.8774460022891
184,277.889770560575,14.8777715645939
184.5,278.349233225929,14.8713593068487
185,279.256507366614,14.8795875736965
185.5,277.567503646247,14.882033753656
186,278.50031790762,14.8831192396292
186.5,277.702725051832,14.8788107809582
187,278.485418903155,14.8765082636285
187.5,278.915447851653,14.8759092536236
188,277.951527606152,14.8757765764057
188.5,277.939743635055,14.8855714956001
189,277.878553197506,14.8809600177682
189.5,278.202798507622,14.8837730515542
190,277.634651290196,14.8842722101123
190.5,277.962270443743,14.8808012992124
191,278.311313518901,14.8812085898823
191.5,277.812099408659,14.8810008172833
192,277.634349912153,14.8797914233816
192.5,278.475229569253,14.8791740232109
193,277.110675543283,14.8838134431848
193.5,278.0449240624,14.8833528498766
194,277.848921083409,14.8759729036471
194.5,277.878995672251,14.88292534085
195,277.4957037552,14.8820283201671
195.5,278.149244684319,14.8772948665006
196,277.9051417446,14.8791410796775
196.5,277.743409213029,14.8864180330813
197,277.189814540085,14.8805592585564
197.5,277.788514035187,14.8762668843636
198,278.35515748504,14.8750590423029
198.5,278.969478999926,14.884881812834
199,278.340817804733,14.8838252923773
199.5,278.32277614699,14.880893010621
200,278.382687168001,14.8817517634728
200.5,277.975714929519,14.8781074309183
201,278.05617634377,14.8788474230819
201.5,279.249789196801,14.8819568050654
202,278.703168799497,14.8834246616923
202.5,277.395501840925,14.8794775045827
203,277.184210312989,14.8780269774155
203.5,278.702962861968,14.8798001898328
204,278.99243321268,14.8835191252047
204.5,278.523005452554,14.8786095342937
205,278.337762626542,14.8806238324667
205.5,278.068248601201,14.878402066121
206,277.487981067093,14.8810089050669
206.5,277.684841636701,14.8812561784396
207,277.312903634936,14.8751376989034
