models,ED,SV,SD,PD
kNN,0.496489230263709,0.5,0.5,0.5
kNN2,0.977063391407397,0.970019588111959,0.999653843636975,0.957959781479812
kNN4,0.993107083146049,0.998851533430562,0.999979167062111,0.996969894829353
LDA2,0.971570656865818,0.703005188436081,0.997862223469993,0.695964634600074
LDA4,0.970996172299322,0.898030579569544,0.99786546330568,0.875734718006301
SVM_G,0.996145532603079,0.999998584347387,0.999989474082271,0.998562356398978
