Time,vLO_control,vLE_control,cLO_measured,cRE_measured
0,0.5,0.5,14.8828513866373,54.9598944880536
0.5,0.5,0.5,14.8791162061956,54.961221426476
1,0.5,0.5,14.8782679218398,54.9567328432183
1.5,0.5,0.5,14.8796242361348,54.9584134647791
2,0.5,0.5,14.8757710274026,54.9576467239089
2.5,0.5,0.5,14.8777279268852,54.9528968290405
3,0.5,0.5,14.8855710460178,54.9568909104394
3.5,0.5,0.5,14.8710888823215,54.9616876543398
4,0.5,0.5,14.882853103277,54.9566519428993
4.5,0.5,0.5,14.8763377899161,54.9620216125542
5,0.5,0.5,14.8785990944223,54.9568595613223
5.5,0.5,0.5,14.8840124177869,54.9613558003235
6,0.5,0.5,14.8772950832421,54.9589443797967
6.5,0.5,0.5,14.8801810211022,54.9554033466442
7,0.5,0.5,14.8806560060978,54.9615267929021
7.5,0.5,0.5,14.8811340182182,54.9559614724897
8,0.5,0.5,14.8818572390836,54.9545713756266
8.5,0.5,0.5,14.8794196004344,54.9585229747339
9,0.5,0.5,14.8823475838261,54.9614640518851
9.5,0.5,0.5,14.8811380881697,54.9612916643878
10,0.5,0.5,14.8760427742696,54.9626211623102
10.5,0.5,0.5,14.8828041709583,54.9637883009163
11,0.5,0.5,14.8818706998805,54.961839881914
11.5,0.5,0.5,14.8786805202776,54.9611208515328
12,0.5,0.5,14.8746041926501,54.9597132795324
12.5,0.5,0.5,14.8812314710545,54.9562480064962
13,0.5,0.5,14.8813985844372,54.9544500561563
13.5,0.5,0.5,14.8819668897691,54.955428361551
14,0.5,0.5,14.8787254918595,54.9521487862006
14.5,0.5,0.5,14.8800600919233,54.9609494148742
15,0.5,0.5,14.8787965367723,54.9591387090455
15.5,0.5,0.5,14.8806839283001,54.9552342427338
16,0.5,0.5,14.8823452182141,54.955818911418
16.5,0.5,0.5,14.8788926251086,54.9590558709077
17,0.5,0.5,14.8759571238382,54.9598995990975
17.5,0.5,0.5,14.8735855226268,54.9611125210363
18,0.5,0.5,14.8808327101561,54.9570159166517
18.5,0.5,0.5,14.8775465942586,54.9560825567886
19,0.5,0.5,14.8784019209406,54.9562873938979
19.5,0.5,0.5,14.8845726976301,54.9494151371872
20,0.5,0.5,14.8808754392764,54.9531131775921
20.5,0.5,0.5,14.879335012162,54.959672937272
21,0.5,0.5,14.8845865921429,54.9581598750264
21.5,0.5,0.5,14.8800829363818,54.9580976250133
22,0.5,0.5,14.8762399466438,54.9576269065346
22.5,0.5,0.5,14.880108505433,54.9603785606758
23,0.5,0.5,14.8766287212474,54.9568067973594
23.5,0.5,0.5,14.8767048045189,54.9564730414327
24,0.5,0.5,14.8805627591062,54.9563775083216
24.5,0.5,0.5,14.8775951372091,54.9564392235149
25,0.5,0.5,14.8774204691523,54.956367737618
25.5,0.5,0.5,14.882798966685,54.9561122348461
26,0.5,0.5,14.8770751347757,54.9633408876678
26.5,0.5,0.5,14.8826720229846,54.9558958207152
27,0.5,0.5,14.8764961787513,54.9513769662469
27.5,0.5,0.5,14.8816933596276,54.9622709047406
28,0.5,0.5,14.8780117951789,54.9629279717837
28.5,0.5,0.5,14.8771349871285,54.9581232212196
29,0.5,0.5,14.8835970486682,54.9560986172658
29.5,0.5,0.5,14.8812780688471,54.9611929097869
30,0.5,0.5,14.8780206403452,54.9619841968588
30.5,0.5,0.5,14.8757162269088,54.9540164922955
31,0.5,0.5,14.8787677852328,54.959190090244
31.5,0.5,0.5,14.8851521204002,54.9628773663192
32,0.5,0.5,14.8795405701912,54.9631013656977
32.5,0.5,0.5,14.8804001435484,54.9551900698647
33,0.5,0.5,14.8821595272928,54.9552763531373
33.5,0.5,0.5,14.8797610072011,54.9634597246665
34,0.5,0.5,14.8806024360912,54.9573990894948
34.5,0.5,0.5,14.8813357852265,54.9616496454731
35,0.5,0.5,14.8787685614794,54.9542108238364
35.5,0.5,0.5,14.8731997461636,54.9570678484096
36,0.5,0.5,14.879552216971,54.9589544290902
36.5,0.5,0.5,14.8745668312721,54.9557854498403
37,0.5,0.5,14.8806523435194,54.9552350357115
37.5,0.5,0.5,14.8767441333994,54.9567486438462
38,0.5,0.5,14.8833204253287,54.9579351873567
38.5,0.5,0.5,14.8777116873442,54.9589254963612
39,0.5,0.5,14.8802524644755,54.9582731011353
39.5,0.5,0.5,14.8810621287459,54.9585617146022
40,0.5,0.5,14.8813261055459,54.9559736731513
40.5,0.5,0.5,14.8872194907503,54.9540865159559
41,0.5,0.5,14.883439961976,54.9619925478611
41.5,0.5,0.5,14.8818981166086,54.9601210401904
42,0.5,0.5,14.8845428746768,54.9614405183166
42.5,0.5,0.5,14.8777773214175,54.9594386821928
43,0.5,0.5,14.8783309038366,54.9556327064172
43.5,0.5,0.5,14.87918704829,54.960110094728
44,0.5,0.5,14.8789734390124,54.9580184830486
44.5,0.5,0.5,14.8819963421092,54.9526508448723
45,0.5,0.5,14.874142153671,54.9566656117964
45.5,0.5,0.5,14.8830776487957,54.9631245457308
46,0.5,0.5,14.8787163728915,54.9555663869412
46.5,0.5,0.5,14.8796182249531,54.9540219666955
47,0.5,0.5,14.8772688733279,54.9588343004338
47.5,0.5,0.5,14.8772513323387,54.9604758823746
48,0.5,0.5,14.882208272722,54.9566495747751
48.5,0.5,0.5,14.8785998201276,54.9594811256825
49,0.5,0.5,14.8765628736735,54.9521285034296
49.5,0.5,0.5,14.8773622099602,54.9587831329174
50,0.5,0.5,14.8811387421119,54.9565368610682
50.5,0.5,0.5,14.8758993631436,54.9637770098321
51,0.5,0.5,14.880387314781,54.9583091465484
51.5,0.5,0.5,14.8809968228992,54.9560766157992
52,0.5,0.5,14.8784952608442,54.9557531899618
52.5,0.5,0.5,14.881539467823,54.955557501172
53,0.5,0.5,14.8777243534963,54.9604370356025
53.5,0.5,0.5,14.883356394034,54.9571392675514
54,0.5,0.5,14.8793808574129,54.9607660446758
54.5,0.5,0.5,14.8832642575331,54.9577028570244
55,0.5,0.5,14.8787975892338,54.9633563773935
55.5,0.5,0.5,14.8808993969195,54.9638143039016
56,0.5,0.5,14.8846733571672,54.9601928093977
56.5,0.5,0.5,14.8755602638612,54.9593407385457
57,0.5,0.5,14.8829973511011,54.9565912030353
57.5,0.5,0.5,14.876295691182,54.9610953423219
58,0.5,0.5,14.8742689945056,54.9562376366409
58.5,0.5,0.5,14.8824990724362,54.9605726595378
59,0.5,0.5,14.879105790618,54.9604887653549
59.5,0.5,0.5,14.8784479621956,54.9615157308155
60,0.5,0.5,14.880029923388,54.9593305879985
60.5,0.5,0.5,14.8854362087454,54.9500164504378
61,0.5,0.5,14.881512471917,54.9585337820143
61.5,0.5,0.5,14.8761419717968,54.9609074010843
62,0.5,0.5,14.8760458901285,54.9563850510119
62.5,0.5,0.5,14.8766722198911,54.9606250989904
63,0.5,0.5,14.883881051553,54.9600448906969
63.5,0.5,0.5,14.8774019267209,54.9576292654085
64,0.5,0.5,14.8781962797779,54.9624008807794
64.5,0.5,0.5,14.8801100589118,54.9569294908642
65,0.5,0.5,14.8801054211018,54.9613917848418
65.5,0.5,0.5,14.8815478827271,54.9581581359709
66,0.5,0.5,14.87909895537,54.9570645388405
66.5,0.5,0.5,14.8795716788171,54.9554456574691
