Time,vLO_control,vLE_control,cLO_measured,cRE_measured
0,0.5,0.5,14.9092965063729,54.9760593705362
1,0.5,0.5,14.8719447019563,54.98932875476
2,0.5,0.5,14.8634618583983,54.9444429221825
3,0.5,0.5,14.8770250013484,54.9612491377914
4,0.5,0.5,14.8384929140261,54.9535817290891
5,0.5,0.5,14.8580619088519,54.9060827804047
6,0.5,0.5,14.936493100178,54.9460235943938
7,0.5,0.5,14.7916714632153,54.9939910333981
8,0.5,0.5,14.90931367277,54.9436339189935
9,0.5,0.5,14.8441605391609,54.997330615542
10,0.5,0.5,14.8667735842228,54.9457101032235
11,0.5,0.5,14.920906817869,54.9906724932346
12,0.5,0.5,14.8537334724206,54.9665582879671
13,0.5,0.5,14.8825928510217,54.9311479564421
14,0.5,0.5,14.8873427009779,54.9923824190214
15,0.5,0.5,14.8921228221816,54.9367292148965
16,0.5,0.5,14.8993550308364,54.922828246266
17,0.5,0.5,14.8749786443442,54.9623442373386
18,0.5,0.5,14.9042584782614,54.991755008851
19,0.5,0.5,14.8921635216972,54.9900311338782
20,0.5,0.5,14.8412103826963,55.0033261131025
21,0.5,0.5,14.9088243495835,55.014997499163
22,0.5,0.5,14.8994896388047,54.9955133091395
23,0.5,0.5,14.8675878427757,54.9883230053281
24,0.5,0.5,14.8268245665015,54.9742472853236
25,0.5,0.5,14.8930973505449,54.9395945549621
26,0.5,0.5,14.8947684843722,54.9216150515625
27,0.5,0.5,14.9004515376912,54.9313981055103
28,0.5,0.5,14.8680375585949,54.8986023520059
29,0.5,0.5,14.8813835592327,54.9866086387422
30,0.5,0.5,14.8687480077234,54.9685015804546
31,0.5,0.5,14.8876219230008,54.9294569173376
32,0.5,0.5,14.9042348221413,54.9353036041803
33,0.5,0.5,14.8697088910863,54.9676731990774
34,0.5,0.5,14.8403538783816,54.9761104809751
35,0.5,0.5,14.8166378662681,54.988239700363
36,0.5,0.5,14.8891097415611,54.9472736565172
37,0.5,0.5,14.8562485825858,54.9379400578864
38,0.5,0.5,14.8648018494059,54.9399884289787
39,0.5,0.5,14.9265096163007,54.8712658618723
40,0.5,0.5,14.8895370327643,54.908246265921
41,0.5,0.5,14.8741327616202,54.9738438627203
42,0.5,0.5,14.9266485614286,54.9587132402636
43,0.5,0.5,14.8816120038179,54.9580907401326
44,0.5,0.5,14.8431821064377,54.9533835553461
45,0.5,0.5,14.8818676943302,54.9809000967581
46,0.5,0.5,14.8470698524741,54.9451824635941
47,0.5,0.5,14.8478306851887,54.9418449043269
48,0.5,0.5,14.8864102310625,54.940889573216
49,0.5,0.5,14.8567340120911,54.9415067251489
50,0.5,0.5,14.8549873315233,54.9407918661804
51,0.5,0.5,14.9087723068497,54.9382368384607
52,0.5,0.5,14.8515339877574,55.0105233666781
53,0.5,0.5,14.9075028698463,54.9360726971522
54,0.5,0.5,14.8457444275133,54.8908841524693
55,0.5,0.5,14.8977162362765,54.9998235374059
56,0.5,0.5,14.8609005917892,55.0063942078366
57,0.5,0.5,14.8521325112854,54.9583467021961
58,0.5,0.5,14.9167531266818,54.9381006626578
59,0.5,0.5,14.8935633284715,54.9890435878693
60,0.5,0.5,14.860989043452,54.996956458588
61,0.5,0.5,14.8379449090876,54.9172794129552
62,0.5,0.5,14.8684604923285,54.9690153924398
63,0.5,0.5,14.9323038440023,55.0058881531921
64,0.5,0.5,14.8761883419125,55.0081281469768
