Time,vLO_control,vLE_control,cLO_measured,cRE_measured
29.5,0.5,0.5,14.8935633284715,54.9890435878693
30,0.5,0.5,14.860989043452,54.996956458588
30.5,0.5,0.5,14.8379449090876,54.9172794129552
31,0.5,0.5,14.8684604923285,54.9690153924398
31.5,0.5,0.5,14.9323038440023,55.0058881531921
32,0.5,0.5,14.8761883419125,55.0081281469768
32.5,0.5,0.5,14.8847840754841,54.9290151886469
33,0.5,0.5,14.9023779129283,54.9298780213734
33.5,0.5,0.5,14.8783927120112,55.0117117366648
34,0.5,0.5,14.8868070009121,54.9511053849482
34.5,0.5,0.5,14.8941404922654,54.9936109447307
35,0.5,0.5,14.8684682547936,54.9192227283644
35.5,0.5,0.5,14.8127801016363,54.9477929740957
36,0.5,0.5,14.8763048097104,54.9666587809015
36.5,0.5,0.5,14.826450952721,54.9349689884028
37,0.5,0.5,14.8873060751941,54.9294648471147
37.5,0.5,0.5,14.8482239739942,54.9446009284623
38,0.5,0.5,14.913986893287,54.9564663635672
38.5,0.5,0.5,14.8578995134421,54.9663694536119
39,0.5,0.5,14.8833072847548,54.9598455013531
39.5,0.5,0.5,14.8914039274587,54.9627316360224
40,0.5,0.5,14.894043695459,54.9368512215125
40.5,0.5,0.5,14.9529775475027,54.9179796495593
41,0.5,0.5,14.9151822597596,54.9970399686106
41.5,0.5,0.5,14.8997638060864,54.9783248919035
42,0.5,0.5,14.9262113867681,54.9915196731664
42.5,0.5,0.5,14.8585558541755,54.9715013119284
43,0.5,0.5,14.8640916783659,54.9334415541717
43.5,0.5,0.5,14.8726531228998,54.9782154372796
44,0.5,0.5,14.8705170301235,54.9572993204862
44.5,0.5,0.5,14.9007460610916,54.9036229387231
45,0.5,0.5,14.82220417671,54.943770607964
45.5,0.5,0.5,14.9115591279572,55.0083599473079
46,0.5,0.5,14.8679463689148,54.932778359412
46.5,0.5,0.5,14.8769648895314,54.9173341569548
47,0.5,0.5,14.8534713732794,54.965457494338
47.5,0.5,0.5,14.8532959633867,54.9818733137463
48,0.5,0.5,14.9028653672195,54.9436102377513
48.5,0.5,0.5,14.8667808412757,54.9719257468249
49,0.5,0.5,14.8464113767349,54.8983995242965
49.5,0.5,0.5,14.8544047396017,54.9649458191738
50,0.5,0.5,14.892170061119,54.9424831006818
50.5,0.5,0.5,14.8397762714362,55.0148845883212
51,0.5,0.5,14.8846557878097,54.9602059554836
51.5,0.5,0.5,14.890750868992,54.9378806479923
52,0.5,0.5,14.8657352484424,54.9346463896176
52.5,0.5,0.5,14.8961773182296,54.9326895017199
53,0.5,0.5,14.8580261749629,54.9814848460249
53.5,0.5,0.5,14.9143465803399,54.9485071655135
54,0.5,0.5,14.8745912141287,54.9847749367576
54.5,0.5,0.5,14.9134252153314,54.9541430602441
55,0.5,0.5,14.8687585323382,55.0106782639353
55.5,0.5,0.5,14.8897766091948,55.0152575290163
56,0.5,0.5,14.9275162116716,54.9790425839767
56.5,0.5,0.5,14.8363852786117,54.9705218754574
57,0.5,0.5,14.9107561510113,54.9430265203534
57.5,0.5,0.5,14.8437395518199,54.9880679132194
58,0.5,0.5,14.8234725850562,54.9394908564089
58.5,0.5,0.5,14.9057733643615,54.9828410853776
59,0.5,0.5,14.8718405461805,54.9820021435488
59.5,0.5,0.5,14.8652622619556,54.9922717981546
60,0.5,0.5,14.8810818738803,54.9704203699851
60.5,0.5,0.5,14.9351447274535,54.8772789943775
61,0.5,0.5,14.8959073591696,54.9624523101433
61.5,0.5,0.5,14.8422023579684,54.9861885008426
62,0.5,0.5,14.8412415412854,54.9409650001186
62.5,0.5,0.5,14.8475048389113,54.9833654799038
63,0.5,0.5,14.9195931555301,54.9775633969685
63.5,0.5,0.5,14.854801907209,54.9534071440846
64,0.5,0.5,14.8627454377788,55.001123297794
64.5,0.5,0.5,14.8818832291177,54.9464093986418
65,0.5,0.5,14.8818368510177,54.9910323384176
65.5,0.5,0.5,14.8962614672712,54.958695849709
66,0.5,0.5,14.8717721936998,54.9477598784045
66.5,0.5,0.5,14.8764994281707,54.9315710646912
67,0.5,0.5,14.8730738257643,55.0526107386453
67.5,0.5,0.5,14.8464025383022,54.9024906737617
68,0.5,0.5,14.8290816081047,54.9871026768276
68.5,0.5,0.5,14.9318778526057,54.9473753473155
69,0.5,0.5,14.8830134447054,54.9529831914282
69.5,0.5,0.5,14.8707585443869,55.0022024581427
70,0.5,0.5,14.9323265629611,54.9747172788101
70.5,0.5,0.5,14.884053154845,54.9579730897391
71,0.5,0.5,14.9003001793526,54.9441701665989
71.5,0.5,0.5,14.8848812889981,54.9716592869993
72,0.5,0.5,14.9216222734053,54.9486211700035
72.5,0.5,0.5,14.8885266174454,54.9591467205685
73,0.5,0.5,14.8831378597875,54.9588241703013
73.5,0.5,0.5,14.8921725766572,54.9401681431898
74,0.5,0.5,14.9077562259625,54.9426702199964
74.5,0.5,0.5,14.8512734213161,54.9882395879798
75,0.5,0.5,14.8826312495661,54.9425402694914
75.5,0.5,0.5,14.8639990128666,54.9678411091265
76,0.5,0.5,14.9395774615525,54.9131113330388
76.5,0.5,0.5,14.9047916992854,54.9476142659084
77,0.5,0.5,14.8482953811945,54.9639025376809
77.5,0.5,0.5,14.9234705294194,54.9993288569213
78,0.5,0.5,14.8520846422275,54.949190171663
78.5,0.5,0.5,14.9029453008449,54.9297146609526
79,0.5,0.5,14.860003509989,54.9971495165839
79.5,0.5,0.5,14.9486424497213,54.9328268507976
80,0.5,0.5,14.8874578174657,55.0031126981809
80.5,0.5,0.5,14.9012482995608,54.9476288288406
81,0.5,0.5,14.8594760852274,54.8905076745667
81.5,0.5,0.5,14.9112993585407,54.9312486041966
82,0.5,0.5,14.8348466581992,54.9397007808158
82.5,0.5,0.5,14.8818996002155,54.976191708745
83,0.5,0.5,14.8705424256433,54.9599507251097
83.5,0.5,0.5,14.8826484894659,54.956326516552
84,0.5,0.5,14.8682444872698,54.9557882167947
84.5,0.5,0.5,14.8868884481583,55.0121755364648
85,0.5,0.5,14.9221418711914,54.9403021347965
85.5,0.5,0.5,14.8363660031274,55.0250922961277
86,0.5,0.5,14.8735507406995,54.9114984209931
86.5,0.5,0.5,14.8697570241113,54.9347884092951
87,0.5,0.5,14.8591256183403,54.971670225505
87.5,0.5,0.5,14.9015925096316,54.9161719707263
88,0.5,0.5,14.8352846498217,54.9445982934942
88.5,0.5,0.5,14.8885142766866,54.9741062807187
89,0.5,0.5,14.8734614538531,54.9727590605007
89.5,0.5,0.5,14.8635265533763,54.9376788044679
90,0.5,0.5,14.8726008508315,54.9679993699253
90.5,0.5,0.5,14.8971440105505,54.9806618421392
91,0.5,0.5,14.8626175307651,54.9151181545115
91.5,0.5,0.5,14.8946957446507,54.9458198311573
92,0.5,0.5,14.8643128388168,54.8977447295854
92.5,0.5,0.5,14.8500985648616,54.9663981375237
93,0.5,0.5,14.939967462334,54.9917627303079
93.5,0.5,0.5,14.8876806085191,54.9459118240237
94,0.5,0.5,14.9152936219495,54.9787807526386
94.5,0.5,0.5,14.8497745579258,55.0046201684472
95,0.5,0.5,14.9473462708337,54.983731884564
95.5,0.5,0.5,14.8478495524871,54.9149383156011
96,0.5,0.5,14.8366555226848,54.9131383181641
96.5,0.5,0.5,14.900828642582,54.9942159504553
97,0.5,0.5,14.8899398982822,54.9204282323696
97.5,0.5,0.5,14.892654442116,54.9473354571348
98,0.5,0.5,14.8937454476268,54.9352426131405
98.5,0.5,0.5,14.9069047223376,54.9656642388655
99,0.5,0.5,14.9267065958453,54.9835319272368
99.5,0.5,0.5,14.8976007538514,54.9380935451251
100,0.5,0.5,14.9021062920219,54.9821347926831
100.5,0.5,0.5,14.8452150437283,54.8983482971922
101,0.5,0.5,14.8899192329285,54.9547468797644
101.5,0.5,0.5,14.9016614338778,54.9870546817723
102,0.5,0.5,14.8882083734346,54.9206030722491
102.5,0.5,0.5,14.8643046102488,54.9435108321138
103,0.5,0.5,14.8768157894443,54.9895225639308
103.5,0.5,0.5,14.8660168137255,54.9411744111434
104,0.5,0.5,14.8806464094054,54.9685748888078
104.5,0.5,0.5,14.9353498039999,54.89185951753
105,0.5,0.5,14.910966105117,54.9374252711831
105.5,0.5,0.5,14.8712173276411,54.9258920255165
106,0.5,0.5,14.9358574021635,55.0124659501367
106.5,0.5,0.5,14.8741939203382,54.935046826538
107,0.5,0.5,14.8304223250194,54.9586041151389
107.5,0.5,0.5,14.8752545934751,54.9448072206529
108,0.5,0.5,14.8792792511086,54.9873126118928
108.5,0.5,0.5,14.8606155000306,54.9158950141553
109,0.5,0.5,14.8542970904848,54.9554942749912
109.5,0.5,0.5,14.8816727080751,54.9807319543088
110,0.5,0.5,14.8867600764855,54.9579668908744
110.5,0.5,0.5,14.9174507298812,54.9754508454699
111,0.5,0.5,14.8262847809552,54.923970293309
111.5,0.5,0.5,14.8793851805138,54.9250866652198
112,0.5,0.5,14.9270865704097,54.972857345831
112.5,0.5,0.5,14.8861532088855,54.9592699539951
113,0.5,0.5,14.822753197786,54.9591395793038
113.5,0.5,0.5,14.8524938759044,54.959215941072
114,0.5,0.5,14.874228621509,54.945393514112
114.5,0.5,0.5,14.8689715877652,54.9841879893166
115,0.5,0.5,14.9085872673597,54.9598569668385
115.5,0.5,0.5,14.8751816293364,54.9168426374891
116,0.5,0.5,14.8309728062924,55.0030922482999
116.5,0.5,0.5,14.8614825723163,54.968678897124
117,0.5,0.5,14.9298361656197,54.9708644584412
117.5,0.5,0.5,14.8760625486878,54.9595926597193
118,0.5,0.5,14.855218202809,54.8970004055896
118.5,0.5,0.5,14.8320618918309,54.9393825809731
119,0.5,0.5,14.8701000721554,54.9634359648025
119.5,0.5,0.5,14.8650598990365,55.0242072604131
120,0.5,0.5,14.8636931672876,54.9785816252429
120.5,0.5,0.5,14.8042871408883,54.9544917834107
121,0.5,0.5,14.9243465115696,54.975350838572
121.5,0.5,0.5,14.8845445708963,54.9896152781333
122,0.5,0.5,14.9100153287518,54.951843307216
122.5,0.5,0.5,14.8584984061283,54.9421974032048
123,0.5,0.5,14.8936441554595,54.9102462449326
123.5,0.5,0.5,14.9026240225356,55.0006176993515
124,0.5,0.5,14.8730149475487,54.9330784933551
124.5,0.5,0.5,14.9086883202419,54.948802271241
125,0.5,0.5,14.9073778637176,54.9764829260128
125.5,0.5,0.5,14.8780845636512,54.9167313335344
126,0.5,0.5,14.8324265908902,54.9756294461566
126.5,0.5,0.5,14.8263611603647,54.9425914075823
127,0.5,0.5,14.8727870034814,54.9827863801534
127.5,0.5,0.5,14.8948496684089,55.0028280649694
128,0.5,0.5,14.77691317744,54.9708982669496
128.5,0.5,0.5,14.8706727757458,54.975295411763
129,0.5,0.5,14.8742153076276,54.9745222842705
129.5,0.5,0.5,14.8532967573368,54.9743471358376
130,0.5,0.5,14.8422839771935,54.9147781679595
130.5,0.5,0.5,14.8637637712553,54.9575643378805
131,0.5,0.5,14.8594466960819,54.9714891529769
131.5,0.5,0.5,14.8782166780965,54.9910821080386
132,0.5,0.5,14.8691588298548,54.9646207189297
132.5,0.5,0.5,14.8329596903293,54.8951439039088
133,0.5,0.5,14.8141006998715,54.9928263969913
133.5,0.5,0.5,14.8725681494863,55.001261257958
134,0.5,0.5,14.8815479887034,54.9305809181611
134.5,0.5,0.5,14.9312465587829,54.9629998716298
135,0.5,0.5,14.902859760728,54.9305751927436
