Time,vLO_control,vLE_control,cLO_measured,cRE_measured
0,0.5,0.5,14.87991304,54.95809839
0.5,0.5,0.5,14.87991304,54.95809839
1,0.5,0.5,14.87991304,54.95809839
1.5,0.5,0.5,14.87991304,54.95809839
2,0.5,0.5,14.87991304,54.95809839
2.5,0.5,0.5,14.87991304,54.95809839
3,0.5,0.5,14.87991304,54.95809839
3.5,0.5,0.5,14.87991304,54.95809839
4,0.5,0.5,14.87991304,54.95809839
4.5,0.5,0.5,14.87991304,54.95809839
5,0.5,0.5,14.87991304,54.95809839
5.5,0.5,0.5,14.87991304,54.95809839
6,0.5,0.5,14.87991304,54.95809839
6.5,0.5,0.5,14.87991304,54.95809839
7,0.5,0.5,14.87991304,54.95809839
7.5,0.5,0.5,14.87991304,54.95809839
8,0.5,0.5,14.87991304,54.95809839
8.5,0.5,0.5,14.87991304,54.95809839
9,0.5,0.5,14.87991304,54.95809839
9.5,0.5,0.5,14.87991304,54.95809839
10,0.5,0.5,14.87991304,54.95809839
10.5,0.5,0.5,14.87991304,54.95809839
11,0.5,0.5,14.87991304,54.95809839
11.5,0.5,0.5,14.87991304,54.95809839
12,0.5,0.5,14.87991304,54.95809839
12.5,0.5,0.5,14.87991304,54.95809839
13,0.5,0.5,14.87991304,54.95809839
13.5,0.5,0.5,14.87991304,54.95809839
14,0.5,0.5,14.87991304,54.95809839
14.5,0.5,0.5,14.87991304,54.95809839
15,0.5,0.5,14.87991304,54.95809839
15.5,0.5,0.5,14.87991304,54.95809839
16,0.5,0.5,14.87991304,54.95809839
16.5,0.5,0.5,14.87991304,54.95809839
17,0.5,0.5,14.87991304,54.95809839
17.5,0.5,0.5,14.87991304,54.95809839
18,0.5,0.5,14.87991304,54.95809839
18.5,0.5,0.5,14.87991304,54.95809839
19,0.5,0.5,14.87991304,54.95809839
19.5,0.5,0.5,14.87991304,54.95809839
20,0.5,0.5,14.87991304,54.95809839
20.5,0.5,0.5,14.87991304,54.95809839
21,0.5,0.5,14.87991304,54.95809839
21.5,0.5,0.5,14.87991304,54.95809839
22,0.5,0.5,14.87991304,54.95809839
22.5,0.5,0.5,14.87991304,54.95809839
23,0.5,0.5,14.87991304,54.95809839
23.5,0.5,0.5,14.87991304,54.95809839
24,0.5,0.5,14.87991304,54.95809839
24.5,0.5,0.5,14.87991304,54.95809839
25,0.5,0.5,14.87991304,54.95809839
25.5,0.5,0.5,14.87991304,54.95809839
26,0.5,0.5,14.87991304,54.95809839
26.5,0.5,0.5,14.87991304,54.95809839
27,0.5,0.5,14.87991304,54.95809839
27.5,0.5,0.5,14.87991304,54.95809839
28,0.5,0.5,14.87991304,54.95809839
28.5,0.5,0.5,14.87991304,54.95809839
29,0.5,0.5,14.87991304,54.95809839
29.5,0.5,0.5,14.87991304,54.95809839
30,0.5,0.5,14.87991304,54.95809839
30.5,0.5,0.5,14.87991304,54.95809839
31,0.5,0.5,14.87991304,54.95809839
31.5,0.5,0.5,14.87991304,54.95809839
32,0.5,0.5,14.87991304,54.95809839
32.5,0.5,0.5,14.87991304,54.95809839
33,0.5,0.5,14.87991304,54.95809839
33.5,0.5,0.5,14.87991304,54.95809839
34,0.5,0.5,14.87991304,54.95809839
34.5,0.5,0.5,14.87991304,54.95809839
35,0.5,0.5,14.87991304,54.95809839
35.5,0.5,0.5,14.87991304,54.95809839
36,0.5,0.5,14.87991304,54.95809839
36.5,0.5,0.5,14.87991304,54.95809839
37,0.5,0.5,14.87991304,54.95809839
37.5,0.5,0.5,14.87991304,54.95809839
38,0.5,0.5,14.87991304,54.95809839
38.5,0.5,0.5,14.87991304,54.95809839
39,0.5,0.5,14.87991304,54.95809839
39.5,0.5,0.5,14.87991304,54.95809839
40,0.5,0.5,14.87991304,54.95809839
40.5,0.5,0.5,14.87991304,54.95809839
41,0.5,0.5,14.87991304,54.95809839
