Time,c_LO_measured,c_RE_measured,f_PLSP_measured,f_PLSS_measured,f_LO_measured,f_LE_measured,c_PLS_measured,c_LE_measured,c_RaffP_measured,c_RaffS_measured,c_BO_measured,v_LO_control,v_LO_valve,v_LE_control,v_LE_valve,v_LO_state,v_LE_state,process_state,sensor_LO_state,c_LO_sensor,c_LO_state,c_RE_sensor,ext_efficiency,strip_efficiency,f1_magnitude,f2_magnitude,fault_state
930,14.89,54.95,278,278,278.06,194.98,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8864737184843,0,54.952055971768,1,1,0,0,0
960,14.89,54.95,278,278,278.07,194.98,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8864906897357,0,54.9519684634065,1,1,0,0,0
990,14.89,54.95,278,278,278.07,194.98,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8864907336383,0,54.9519672140111,1,1,0,0,0
1020,14.89,54.95,278,278,278.07,194.98,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8864907337519,0,54.9519671961728,1,1,0,0,0
1050,14.89,54.95,278,278,278.07,194.98,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8864907337521,0,54.9519671959183,1,1,0,0,0
1080,14.89,54.95,278,278,278.08,194.98,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8864907337521,0,54.9519671959146,1,1,0,0,0
1110,14.89,54.95,278,278,278.08,194.98,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8864907337521,0,54.9519671959146,1,1,0,0,0
1140,14.89,54.95,278,278,278.08,194.98,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8864907337521,0,54.9519671959144,1,1,0,0,0
1170,14.89,54.95,278,278,278.09,194.98,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8864907337521,0,54.9519671959146,1,1,0,0,0
1200,14.89,54.95,278,278,278.09,194.98,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8864907337521,0,54.9519671959146,1,1,0,0,0
1230,14.89,54.95,278,278,278.09,194.98,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8864907337521,0,54.9519671959146,1,1,0,0,0
1260,14.89,54.95,278,278,278.1,194.97,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8864907337521,0,54.9519671959145,1,1,0,0,0
1290,14.89,54.95,278,278,278.1,194.97,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8864907337521,0,54.9519671959145,1,1,0,0,0
1320,14.89,54.95,278,278,278.1,194.97,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8864907337521,0,54.9519671959146,1,1,0,0,0
1350,14.89,54.95,278,278,278.11,194.97,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8864907337521,0,54.9519671959146,1,1,0,0,0
1380,14.89,54.95,278,278,278.11,194.97,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8864907337521,0,54.9519671959146,1,1,0,0,0
1410,14.89,54.95,278,278,278.11,194.97,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8864907337521,0,54.9519671959144,1,1,0,0,0
1440,14.89,54.95,278,278,278.12,194.97,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8864907337521,0,54.9519671959146,1,1,0,0,0
1470,14.89,54.95,278,278,278.12,194.97,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8864907337521,0,54.9519671959146,1,1,0,0,0
1500,14.89,54.95,278,278,278.12,194.97,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8864907337521,0,54.9519671959146,1,1,0,0,0
1530,14.89,54.95,278,278,278.13,194.97,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8864907337521,0,54.9519671959145,1,1,0,0,0
1560,14.89,54.95,278,278,278.13,194.97,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8864907337521,0,54.9519671959145,1,1,0,0,0
1590,14.89,54.95,278,278,278.13,194.96,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8864907337521,0,54.9519671959146,1,1,0,0,0
1620,14.89,54.95,278,278,278.14,194.96,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8864907337521,0,54.9519671959146,1,1,0,0,0
1650,14.89,54.95,278,278,278.14,194.96,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8864907337521,0,54.9519671959145,1,1,0,0,0
1680,14.89,54.95,278,278,278.14,194.96,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8864907337521,0,54.9519671959145,1,1,0,0,0
1710,14.89,54.95,278,278,278.15,194.96,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8864907337521,0,54.9519671959146,1,1,0,0,0
1740,14.89,54.95,278,278,278.15,194.96,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8864907337521,0,54.9519671959146,1,1,0,0,0
1770,14.89,54.95,278,278,278.15,194.96,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8864907337521,0,54.9519671959146,1,1,0,0,0
1800,14.89,54.95,278,278,278.16,194.96,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8864907337521,0,54.9519671959144,1,1,0,0,0
1830,14.87,54.97,278,278,278,194.99,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.8695283710075,0,54.9650655876943,1,1,0,0,0
1860,14.87,54.97,278,278,277.99,194.99,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.8689963295779,0,54.9664219994452,1,1,0,0,0
1890,14.87,54.97,278,278,277.99,195,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.8689126007254,0,54.9667463354201,1,1,0,0,0
1920,14.87,54.97,278,278,277.98,195,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.8688310817434,0,54.9670514853934,1,1,0,0,0
1950,14.87,54.97,278,278,277.97,195,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.8687495730734,0,54.9673563201407,1,1,0,0,0
1980,14.87,54.97,278,278,277.97,195,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.86866806632,0,54.9676611514755,1,1,0,0,0
2010,14.87,54.97,278,278,277.96,195.01,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.8685865614574,0,54.9679659844004,1,1,0,0,0
2040,14.87,54.97,278,278,277.95,195.01,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.8685050584851,0,54.9682708189963,1,1,0,0,0
2070,14.87,54.97,278,278,277.95,195.01,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.8684235574012,0,54.9685756552626,1,1,0,0,0
2100,14.87,54.97,278,278,277.94,195.01,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.868342058211,0,54.9688804932004,1,1,0,0,0
2130,14.87,54.97,278,278,277.93,195.01,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.8682605609091,0,54.9691853328098,1,1,0,0,0
2160,14.87,54.97,278,278,277.93,195.02,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.8681790654951,0,54.9694901740901,1,1,0,0,0
2190,14.87,54.97,278,278,277.92,195.02,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.8680975719731,0,54.9697950170418,1,1,0,0,0
2220,14.87,54.97,278,278,277.91,195.02,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.8680160803408,0,54.9700998616646,1,1,0,0,0
2250,14.87,54.97,278,278,277.91,195.02,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.8679345905985,0,54.9704047079583,1,1,0,0,0
2280,14.87,54.97,278,278,277.9,195.03,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.8678531027476,0,54.9707095559232,1,1,0,0,0
2310,14.87,54.97,278,278,277.89,195.03,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.8677716167846,0,54.9710144055597,1,1,0,0,0
2340,14.87,54.97,278,278,277.89,195.03,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.8676901327107,0,54.9713192568668,1,1,0,0,0
2370,14.87,54.97,278,278,277.88,195.03,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.8676086505274,0,54.9716241098451,1,1,0,0,0
2400,14.87,54.97,278,278,277.87,195.04,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.8675271702325,0,54.9719289644943,1,1,0,0,0
2430,14.87,54.97,278,278,277.87,195.04,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.867445691828,0,54.9722338208152,1,1,0,0,0
2460,14.87,54.97,278,278,277.86,195.04,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.8673642153119,0,54.9725386788066,1,1,0,0,0
2490,14.87,54.97,278,278,277.85,195.05,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.8672827406838,0,54.9728435384692,1,1,0,0,0
