Time,c_LO_measured,c_RE_measured,f_PLSP_measured,f_PLSS_measured,f_LO_measured,f_LE_measured,c_PLS_measured,c_LE_measured,c_RaffP_measured,c_RaffS_measured,c_BO_measured,v_LO_control,v_LO_valve,v_LE_control,v_LE_valve,v_LO_state,v_LE_state,process_state,sensor_LO_state,c_LO_sensor,f6_state,c_RE_sensor,ext_efficiency,strip_efficiency,f1_magnitude,f2_magnitude,fault_state
930,14.94,55.24,281.4,286.64,279.43,203.85,6.99,35.14,0.08,0.03,0.87,0.51,0.51,0.5,0.5,0,0,0,0,14.943681293845,0,55.2375117586925,1,1,0,0,0
960,14.97,55.32,280.41,283.68,286.2,194.46,7,35.14,0,0.06,0.87,0.51,0.51,0.51,0.51,0,0,0,0,14.9678020789318,0,55.3223679258206,1,1,0,0,0
990,14.98,55.19,278.3,271.72,270.03,198.09,6.97,35.15,0.03,0.04,0.89,0.49,0.49,0.5,0.5,0,0,0,0,14.9821149403278,0,55.1894324198133,1,1,0,0,0
1020,14.94,55.38,281.1,297.37,287.42,197.59,7.07,35.15,0,0,0.9,0.52,0.52,0.51,0.51,0,0,0,0,14.9362759366133,0,55.3765266988899,1,1,0,0,0
1050,14.93,55.38,276.66,279.19,284.13,195.12,7.06,35.13,0,0,0.9,0.51,0.51,0.51,0.51,0,0,0,0,14.9256428416705,0,55.3812517102726,1,1,0,0,0
1080,14.82,55.66,280.93,276.49,283.69,194.09,7.04,35.13,0,0.01,0.9,0.5,0.5,0.51,0.51,0,0,0,0,14.8221665184558,0,55.6577729400466,1,1,0,0,0
1110,15.1,55.02,277.62,276.14,278.77,188.35,7.03,35.14,0.04,0.06,0.89,0.5,0.5,0.5,0.5,0,0,0,0,15.1031943247342,0,55.0176205851672,1,1,0,0,0
1140,14.79,55.66,284.81,281.12,281.91,195.88,6.95,35.1,0,0.02,0.95,0.5,0.5,0.51,0.51,0,0,0,0,14.7913326183891,0,55.6644550468956,1,1,0,0,0
1170,15.06,55.17,282.65,288.52,288.51,191.01,7.04,35.11,0.01,0.02,0.9,0.52,0.52,0.5,0.5,0,0,0,0,15.0582434174825,0,55.1682145605426,1,1,0,0,0
1200,14.89,55.4,275.75,286.32,281.85,199.02,7.01,35.14,0.02,0.03,0.94,0.5,0.5,0.51,0.51,0,0,0,0,14.8947236278192,0,55.3981509886823,1,1,0,0,0
1230,14.94,55.25,283.62,290.05,288.29,198.97,6.97,35.11,0,0,0.91,0.51,0.51,0.5,0.5,0,0,0,0,14.9365649258253,0,55.2526396596559,1,1,0,0,0
1260,15.05,55.13,280.77,286.23,282.63,193.78,7.02,35.06,0.06,0.06,0.87,0.51,0.51,0.5,0.5,0,0,0,0,15.0463706719304,0,55.1291912838805,1,1,0,0,0
1290,14.81,55.63,271.7,287.58,278.89,199.63,6.98,35.08,0,0.03,0.91,0.5,0.5,0.51,0.51,0,0,0,0,14.8108947506507,0,55.6285256447717,1,1,0,0,0
1320,14.99,55.16,275.18,283.87,272.64,195.88,6.96,35.15,0.07,0,0.9,0.5,0.5,0.51,0.51,0,0,0,0,14.9947625552855,0,55.1632529161403,1,1,0,0,0
1350,14.98,55.11,285.62,282.07,279.74,199.3,7.01,35.09,0,0,0.98,0.51,0.51,0.5,0.5,0,0,0,0,14.9754362990411,0,55.111118791895,1,1,0,0,0
1380,14.92,55.37,281.15,279.07,286.31,197.31,7,35.12,0.02,0.03,0.91,0.5,0.5,0.51,0.51,0,0,0,0,14.9246835267334,0,55.3699945758986,1,1,0,0,0
1410,14.95,55.28,282.66,287.3,286.16,196.77,7.01,35.11,0.04,0,0.93,0.51,0.51,0.51,0.51,0,0,0,0,14.952963744321,0,55.2798673917143,1,1,0,0,0
1440,14.96,55.34,288.25,283.04,280.5,198.03,6.97,35.12,0,0,0.92,0.51,0.51,0.51,0.51,0,0,0,0,14.9562876196981,0,55.3429744620512,1,1,0,0,0
1470,15.04,55.13,272.82,280.07,280.72,199.46,7.05,35.07,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,15.0420610229224,0,55.1271649515796,1,1,0,0,0
1500,14.93,55.36,272.74,284.13,284.06,203.63,7.08,35.12,0,0.01,0.87,0.51,0.51,0.51,0.51,0,0,0,0,14.9312223980342,0,55.3573163597089,1,1,0,0,0
1530,14.87,55.56,280.1,277.46,280.02,194.15,7,35.12,0,0.02,0.89,0.5,0.5,0.51,0.51,0,0,0,0,14.8737744830874,0,55.5611832149366,1,1,0,0,0
1560,14.95,55.21,278.82,295.03,289.67,199.47,7.02,35.13,0,0.05,0.91,0.52,0.52,0.51,0.51,0,0,0,0,14.9480149890677,0,55.2122581447354,1,1,0,0,0
1590,14.99,55.36,278.12,280.64,290.21,197.99,7,35.14,0,0,0.92,0.5,0.5,0.51,0.51,0,0,0,0,14.9938874609312,0,55.3606844220962,1,1,0,0,0
1620,14.77,55.64,279.11,284.82,282.98,196.32,7,35.16,0.02,0.01,0.93,0.51,0.51,0.51,0.51,0,0,0,0,14.7733894659296,0,55.6436377655592,1,1,0,0,0
1650,14.9,55.43,281.65,285.56,282.72,199.99,7.03,35.14,0.02,0,0.89,0.51,0.51,0.51,0.51,0,0,0,0,14.9044655143764,0,55.4259947302422,1,1,0,0,0
1680,14.9,55.35,284.54,283.55,284.94,197.23,7.02,35.1,0.01,0,0.92,0.51,0.51,0.51,0.51,0,0,0,0,14.9043520769794,0,55.3464717324622,1,1,0,0,0
1710,15,55.2,270.84,279.41,276.09,199.72,6.99,35.14,0.02,0,0.91,0.5,0.5,0.51,0.51,0,0,0,0,15.0028757828004,0,55.1952378302512,1,1,0,0,0
1740,14.91,55.4,275.96,280.82,275.42,201.49,7.02,35.14,0,0.02,0.94,0.5,0.5,0.51,0.51,0,0,0,0,14.9066533926562,0,55.403729530762,1,1,0,0,0
1770,14.99,55.26,272.99,278.07,282.25,196.58,7.02,35.16,0.04,0,0.96,0.5,0.5,0.51,0.51,0,0,0,0,14.9877366060052,0,55.2597515526848,1,1,0,0,0
1800,14.94,55.35,283.99,282.4,280.16,196.65,7,35.12,0.02,0,0.93,0.51,0.51,0.51,0.51,0,0,0,0,14.9429787154679,0,55.349805841375,1,1,0,0,0
1830,15.09,54.98,290.19,290.82,295.64,193.87,7.01,35.2,0,0,0.93,0.53,0.53,0.51,0.51,0,0,0,0,15.0944967697509,0,54.9802486422903,1,1,0,0,0
1860,15.08,55.15,285.9,287.82,297.46,198.5,7.06,35.12,0.02,0,0.93,0.53,0.53,0.51,0.51,0,0,0,0,15.0757333127618,0,55.147508210891,1,1,0,0,0
1890,14.77,55.82,279.14,284.44,282.91,207.61,7.04,35.14,0.06,0.02,0.95,0.51,0.51,0.51,0.51,0,0,0,0,14.7661114252605,0,55.8217769899379,1,1,0,0,0
1920,14.93,55.14,270.1,293.52,276.46,197.36,6.98,35.14,0.03,0,0.92,0.5,0.5,0.51,0.51,0,0,0,0,14.934301139902,0,55.1422771514615,1,1,0,0,0
1950,14.9,55.3,278.54,277.21,280.03,200.82,7.01,35.17,0,0.01,0.88,0.5,0.5,0.51,0.51,0,0,0,0,14.9039375668407,0,55.2957964238198,1,1,0,0,0
1980,14.96,55.2,278.34,278.7,285.95,200.92,7.03,35.13,0,0.01,0.84,0.51,0.51,0.51,0.51,0,0,0,0,14.9617994614753,0,55.2049570615439,1,1,0,0,0
2010,14.86,55.58,274.78,282.89,276.98,199.31,7.03,35.12,0,0,0.97,0.5,0.5,0.51,0.51,0,0,0,0,14.8597805979669,0,55.5817504263515,1,1,0,0,0
2040,14.96,55.26,287.85,286.34,291.82,195.63,7.06,35.13,0,0,0.92,0.53,0.53,0.51,0.51,0,0,0,0,14.9601283469634,0,55.2588713976055,1,1,0,0,0
2070,15.06,54.93,280.28,272.92,274.33,196.13,7.09,35.11,0.02,0.01,0.88,0.51,0.51,0.51,0.51,0,0,0,0,15.0577574730325,0,54.9250916710669,1,1,0,0,0
2100,15.05,55.06,281.06,282.52,286.76,201.89,7.04,35.18,0.04,0.04,0.92,0.52,0.52,0.51,0.51,0,0,0,0,15.0469832279154,0,55.0643420351954,1,1,0,0,0
2130,14.86,55.4,269.88,286.5,274.71,199.31,6.97,35.16,0,0,0.9,0.5,0.5,0.51,0.51,0,0,0,0,14.8606854731174,0,55.3996813384645,1,1,0,0,0
2160,14.89,55.67,274.22,287.96,287.34,201.37,7.06,35.19,0.06,0.01,0.89,0.51,0.51,0.51,0.51,0,0,0,0,14.8921924667202,0,55.6687289655072,1,1,0,0,0
2190,14.93,55.3,272.6,281.97,273.62,197.98,7.04,35.14,0,0.03,0.91,0.5,0.5,0.51,0.51,0,0,0,0,14.9273185712018,0,55.2951095976858,1,1,0,0,0
2220,14.88,55.3,271.38,279.09,283.66,199.1,7.04,35.12,0.01,0,0.94,0.5,0.5,0.51,0.51,0,0,0,0,14.8753714481123,0,55.2953259028656,1,1,0,0,0
2250,14.9,55.5,288.2,296.78,293.44,198.33,6.99,35.11,0.02,0.01,0.93,0.53,0.53,0.51,0.51,0,0,0,0,14.896929747065,0,55.5011029620709,1,1,0,0,0
2280,14.77,55.65,279.72,292.08,287.86,199.93,7,35.12,0,0,0.97,0.51,0.51,0.51,0.51,0,0,0,0,14.7650667676386,0,55.6463252230678,1,1,0,0,0
2310,14.83,55.4,279.86,293.92,277.03,200.09,6.98,35.15,0.02,0,0.88,0.51,0.51,0.51,0.51,0,0,0,0,14.825076480565,0,55.40050428118,1,1,0,0,0
2340,14.91,55.53,280.98,286.09,294.59,207.08,7.07,35.13,0.07,0.01,0.9,0.52,0.52,0.51,0.51,0,0,0,0,14.9116538430791,0,55.5347435280883,1,1,0,0,0
2370,14.82,55.53,280.89,288.06,288.25,208.49,7.08,35.07,0,0,0.92,0.52,0.52,0.51,0.51,0,0,0,0,14.8179764719716,0,55.525810111055,1,1,0,0,0
2400,14.96,55.17,276.07,286.94,281.8,199.62,7.05,35.12,0,0,0.91,0.51,0.51,0.51,0.51,0,0,0,0,14.9595521047683,0,55.1724173574379,1,1,0,0,0
2430,14.9,55.38,286.07,292.19,287.5,196.24,6.98,35.13,0,0.02,0.9,0.52,0.52,0.51,0.51,0,0,0,0,14.8985774743372,0,55.3833570807797,1,1,0,0,0
2460,15.01,55.06,270.89,290.94,287.33,199.86,7,35.13,0.05,0,0.86,0.51,0.51,0.51,0.51,0,0,0,0,15.0113108262269,0,55.0647164730446,1,1,0,0,0
2490,14.88,55.35,288.46,289.62,295.85,197.85,6.97,35.12,0.02,0.05,0.89,0.52,0.52,0.51,0.51,0,0,0,0,14.8801018685943,0,55.3493804580687,1,1,0,0,0
2520,14.76,55.6,279.21,285.18,278.68,204.45,7.07,35.17,0,0.01,0.94,0.51,0.51,0.51,0.51,0,0,0,0,14.7580854282793,0,55.6038846016272,1,1,0,0,0
