k_vals,accuracy,LDA_2_accuracy
1,0.93341512433495,0.853531034394069
2,0.930461840741491,0
3,0.927433327378218,0
10,0.92437008900196,0
20,0.924539840934865,0
30,0.924391308509864,0
40,0.924464610495268,0
50,0.924501261208894,0
60,0.924453037053767,0
70,0.92432379400802,0
80,0.924364302634706,0
90,0.924337296871178,0
100,0.924327651883871,0
