k_vals,accuracy,LDA_2_accuracy,,
1,0.966186736,0.862642344,,0.003450962
2,0.962735773,0,,0
3,0.961071056,0,,-0.001664718
10,0.95945649,0,,-0.003279283
20,0.959142065,0,,-0.003593708
30,0.95898003,0,,-0.003755744
40,0.958825711,0,,-0.003910062
50,0.958480422,0,,-0.004255351
60,0.958084979,0,,-0.004650794
70,0.957865075,0,,-0.004870699
80,0.957668318,0,,-0.005067456
90,0.957409833,0,,-0.005325941
100,0.957209218,0,,-0.005526556
