k_vals,accuracy,LDA_2_accuracy
1,0.966186735829653,0.86264234412073
2,0.962735773376738,0
3,0.961071055629857,0
10,0.959456490194614,0
20,0.959142064940496,0
30,0.958980029540706,0
40,0.958825711157764,0
50,0.958480422078216,0
60,0.958084979161412,0
70,0.957865074544768,0
80,0.957668317518119,0
90,0.957409832728981,0
100,0.95720921771485,0
